g 1024
e 744 197 18
e 701 197 -5
e 363 197 5
e 466 197 -4
e 626 197 4
e 908 197 14
e 850 197 11
e 139 197 4
e 848 197 11
e 216 197 7
e 612 197 -2
e 203 197 5
e 317 197 10
e 300 197 17
e 644 197 19
e 664 197 -9
e 357 197 -7
e 38 197 -8
e 332 197 -9
e 331 197 12
e 748 197 11
e 763 197 10
e 646 197 2
e 17 197 -9
e 872 197 -6
e 241 197 -6
e 180 197 0
e 620 197 2
e 866 197 18
e 996 197 -7
e 392 197 5
e 176 197 1
e 729 197 12
e 193 197 9
e 620 197 -2
e 134 197 18
e 448 197 -5
e 14 197 -1
e 252 197 10
e 365 197 14
e 123 197 10
e 608 197 -6
e 903 197 -8
e 308 197 -3
e 101 197 1
e 227 197 18
e 403 197 10
e 129 197 3
e 77 197 -5
e 215 198 11
e 778 198 8
e 406 198 20
e 476 198 2
e 244 198 -7
e 790 198 10
e 791 198 -7
e 800 198 5
e 967 198 5
e 297 198 0
e 453 198 -4
e 282 198 -7
e 94 198 11
e 456 198 3
e 831 198 13
e 878 198 -9
e 139 198 4
e 602 198 -6
e 299 198 -1
e 486 198 19
e 870 198 -5
e 938 198 -2
e 945 198 4
e 752 198 12
e 968 198 6
e 104 198 -5
e 1021 198 20
e 542 198 15
e 720 198 7
e 936 198 20
e 705 198 16
e 676 198 18
e 610 198 6
e 866 198 16
e 688 198 16
e 477 198 -6
e 931 198 -1
e 752 198 6
e 772 198 16
e 454 198 2
e 383 198 1
e 403 198 14
e 505 198 8
e 897 198 12
e 804 198 5
e 238 198 -3
e 848 198 -7
e 192 199 -7
e 530 199 -10
e 688 199 15
e 298 199 -7
e 607 199 -8
e 523 199 -5
e 202 199 -10
e 823 199 -7
e 790 199 -3
e 674 199 16
e 887 199 -4
e 438 199 3
e 336 199 -7
e 512 200 -9
e 148 200 12
e 486 200 10
e 280 200 0
e 54 200 20
e 553 200 -7
e 303 200 -10
e 549 200 1
e 814 200 -1
e 119 200 7
e 36 200 -3
e 689 200 17
e 840 200 14
e 988 200 5
e 777 200 17
e 523 200 15
e 839 200 -7
e 567 200 15
e 962 200 3
e 582 200 1
e 723 200 8
e 365 200 -1
e 90 200 0
e 696 200 -7
e 247 200 -8
e 487 200 -7
e 381 200 1
e 636 200 1
e 675 200 20
e 274 200 -4
e 253 200 17
e 752 200 4
e 299 200 12
e 990 200 1
e 81 200 7
e 568 200 3
e 199 200 11
e 320 200 13
e 785 200 7
e 440 200 6
e 785 200 19
e 177 200 -7
e 379 200 17
e 158 200 -6
e 394 200 9
e 172 200 8
e 753 200 13
e 598 200 8
e 21 200 13
e 307 200 1
e 121 200 16
e 275 200 -4
e 889 200 -8
e 587 200 4
e 828 200 4
e 77 200 7
e 996 200 12
e 636 200 18
e 775 200 10
e 830 200 10
e 867 200 13
e 338 200 8
e 205 200 9
e 868 200 -2
e 107 200 17
e 478 200 6
e 291 200 0
e 770 200 15
e 83 200 -9
e 310 200 2
e 707 200 18
e 926 200 6
e 472 200 17
e 240 200 16
e 266 200 13
e 132 200 9
e 919 200 -8
e 427 200 -7
e 633 200 -10
e 434 201 17
e 828 201 -9
e 870 201 9
e 100 201 -5
e 869 201 -7
e 915 201 -8
e 529 201 8
e 731 201 11
e 440 201 7
e 919 201 -10
e 22 201 15
e 6 201 15
e 283 201 7
e 56 201 -6
e 751 201 3
e 558 201 9
e 820 201 6
e 317 201 2
e 395 201 -5
e 179 201 13
e 857 201 6
e 445 201 20
e 203 201 10
e 136 201 -4
e 791 201 -4
e 167 201 6
e 5 201 7
e 933 202 2
e 178 202 5
e 24 202 11
e 226 202 19
e 17 202 -4
e 525 202 -2
e 112 202 1
e 831 202 1
e 204 202 4
e 476 202 8
e 962 202 1
e 145 202 1
e 397 202 -2
e 650 202 4
e 215 202 12
e 741 202 2
e 463 202 14
e 103 202 -2
e 892 202 -7
e 366 202 -5
e 849 202 9
e 39 202 9
e 769 202 17
e 769 202 -10
e 149 202 2
e 354 202 -6
e 187 202 6
e 152 202 11
e 865 202 -2
e 274 202 -1
e 766 203 -6
e 892 203 2
e 10 203 -4
e 157 203 9
e 111 203 -4
e 350 203 8
e 781 203 19
e 816 204 0
e 974 204 18
e 56 204 11
e 535 204 -9
e 731 204 -6
e 387 204 -3
e 953 204 18
e 195 204 2
e 287 204 3
e 953 204 10
e 544 204 12
e 812 204 9
e 999 204 10
e 191 204 2
e 331 204 15
e 804 204 2
e 164 204 -8
e 653 204 20
e 989 204 19
e 355 204 10
e 715 204 8
e 315 204 14
e 957 204 -10
e 6 204 -4
e 597 204 11
e 858 205 -7
e 311 205 5
e 90 205 -2
e 143 205 2
e 200 205 12
e 609 205 2
e 925 205 5
e 768 205 12
e 617 205 18
e 34 205 -8
e 315 205 12
e 999 205 -9
e 449 205 17
e 279 205 -4
e 432 205 15
e 171 205 19
e 202 206 4
e 285 206 8
e 736 206 2
e 272 206 12
e 583 206 11
e 821 206 -6
e 509 206 14
e 384 206 18
e 976 206 0
e 353 206 9
e 697 206 18
e 174 206 -10
e 876 206 4
e 734 206 1
e 813 206 -8
e 631 206 7
e 229 206 -7
e 713 206 16
e 117 206 6
e 477 206 -7
e 74 206 -4
e 681 206 8
e 306 206 16
e 901 206 0
e 110 206 10
e 227 206 16
e 8 206 -9
e 58 206 -9
e 359 206 1
e 835 206 14
e 544 206 -5
e 872 206 8
e 783 206 12
e 378 206 -3
e 423 206 17
e 418 206 -8
e 902 206 15
e 922 206 -6
e 76 206 -2
e 796 206 -9
e 430 206 -9
e 155 206 10
e 454 206 6
e 562 206 17
e 941 206 14
e 218 206 16
e 588 206 -9
e 479 206 15
e 367 206 -3
e 149 206 -10
e 283 206 3
e 826 207 -5
e 916 207 20
e 825 207 12
e 750 207 -4
e 220 207 16
e 476 207 1
e 536 207 15
e 933 207 18
e 774 207 8
e 186 207 1
e 66 207 -3
e 60 207 6
e 145 207 20
e 702 207 9
e 454 207 13
e 588 207 6
e 230 207 7
e 940 207 -9
e 394 207 -8
e 227 207 12
e 133 207 4
e 252 207 7
e 455 207 19
e 260 207 4
e 385 207 5
e 601 207 17
e 138 207 18
e 549 207 -6
e 2 207 9
e 549 207 -4
e 53 207 5
e 687 207 2
e 705 207 14
e 499 207 5
e 1020 207 -6
e 129 207 18
e 912 207 3
e 779 207 5
e 104 207 16
e 364 207 18
e 976 207 3
e 746 207 19
e 983 207 -1
e 952 207 -2
e 248 207 -3
e 959 207 -7
e 762 207 8
e 671 207 -5
e 277 207 11
e 240 207 -4
e 342 207 16
e 717 207 3
e 837 207 6
e 915 207 -10
e 452 207 -10
e 742 207 7
e 58 207 7
e 757 207 15
e 753 207 14
e 1023 207 -5
e 701 207 2
e 279 207 -7
e 991 207 10
e 548 207 0
e 40 207 9
e 811 207 11
e 98 207 -6
e 209 207 0
e 235 207 -6
e 539 207 15
e 419 207 -10
e 889 207 -5
e 4 208 11
e 738 208 20
e 897 208 3
e 709 208 -3
e 1019 208 3
e 410 208 -4
e 337 208 2
e 343 208 4
e 335 208 -5
e 834 208 -9
e 384 208 3
e 98 208 16
e 835 208 4
e 563 208 2
e 545 208 6
e 926 208 16
e 94 208 -8
e 551 208 -2
e 462 208 17
e 873 208 -8
e 234 208 -10
e 703 208 14
e 547 208 9
e 837 208 5
e 375 208 -8
e 511 208 4
e 577 208 2
e 87 208 -4
e 341 208 2
e 717 208 7
e 332 208 0
e 1002 208 7
e 285 208 -8
e 885 208 2
e 238 208 17
e 490 208 12
e 297 208 16
e 40 208 -10
e 977 208 -9
e 874 208 6
e 23 208 -3
e 889 209 0
e 888 209 -2
e 602 209 7
e 262 209 0
e 544 209 2
e 25 209 7
e 154 209 17
e 137 209 16
e 249 209 -1
e 189 209 17
e 890 209 1
e 622 209 -9
e 69 209 4
e 173 209 20
e 404 209 -7
e 808 209 -2
e 279 209 -10
e 681 209 -10
e 152 209 0
e 735 209 8
e 475 209 -5
e 353 209 -2
e 456 209 8
e 496 209 -4
e 715 209 15
e 1020 209 19
e 636 209 5
e 362 209 7
e 635 209 11
e 661 209 -3
e 158 209 19
e 915 209 -3
e 591 209 3
e 697 209 0
e 815 209 1
e 97 209 -3
e 768 209 -4
e 1002 209 6
e 705 209 -6
e 513 209 -8
e 282 209 8
e 31 209 15
e 507 209 14
e 339 209 0
e 385 209 15
e 66 209 -9
e 537 209 -9
e 620 209 -8
e 487 209 12
e 177 209 13
e 873 209 -5
e 275 209 10
e 343 209 -6
e 445 209 11
e 462 209 -3
e 325 209 -8
e 174 209 2
e 46 209 14
e 321 209 7
e 945 209 7
e 797 209 12
e 444 209 18
e 587 209 4
e 572 209 15
e 680 209 -8
e 408 209 -1
e 652 209 16
e 125 209 17
e 170 209 16
e 225 209 3
e 311 209 -2
e 66 209 12
e 591 209 15
e 815 209 3
e 916 209 11
e 522 209 -1
e 280 209 -6
e 780 209 11
e 381 209 13
e 393 209 1
e 858 209 10
e 267 210 15
e 718 210 10
e 101 210 4
e 685 210 1
e 904 210 4
e 662 210 12
e 200 210 19
e 409 210 -5
e 746 210 20
e 207 210 11
e 220 210 11
e 167 210 10
e 419 210 19
e 123 210 14
e 148 210 13
e 103 210 5
e 455 210 0
e 346 210 -3
e 713 210 5
e 877 210 3
e 913 210 5
e 628 210 5
e 949 210 8
e 211 210 2
e 990 210 2
e 148 210 3
e 890 210 20
e 694 210 6
e 688 210 -2
e 199 210 18
e 153 210 -10
e 181 210 3
e 429 210 10
e 737 210 -8
e 635 210 -10
e 629 210 4
e 670 210 7
e 1016 210 0
e 1004 210 1
e 543 210 0
e 496 210 14
e 230 210 13
e 411 210 4
e 736 210 6
e 310 210 -9
e 203 210 1
e 155 210 -7
e 872 210 -4
e 421 210 14
e 906 210 17
e 229 210 2
e 108 210 19
e 662 210 8
e 71 210 -7
e 979 210 14
e 804 210 14
e 8 210 -5
e 1007 210 -10
e 679 210 20
e 832 211 16
e 482 211 9
e 80 211 13
e 298 211 4
e 568 211 18
e 711 211 11
e 502 211 -9
e 81 211 11
e 881 211 12
e 893 211 20
e 442 211 0
e 137 211 4
e 145 211 10
e 987 211 17
e 811 211 -7
e 741 211 16
e 50 211 7
e 75 211 -10
e 782 211 0
e 840 211 -1
e 611 211 18
e 590 211 12
e 986 211 0
e 969 212 18
e 236 212 -7
e 493 212 -5
e 86 212 8
e 763 212 -7
e 1002 212 -7
e 710 212 14
e 800 212 -2
e 660 212 -4
e 167 212 -6
e 700 212 12
e 159 212 3
e 628 212 -1
e 777 212 9
e 484 212 12
e 636 212 -4
e 639 212 16
e 793 212 -3
e 402 212 -4
e 449 212 -3
e 285 212 -3
e 901 212 10
e 739 212 -8
e 349 212 19
e 445 212 -6
e 29 212 6
e 307 212 5
e 166 212 -1
e 845 212 7
e 89 212 -1
e 167 212 -9
e 466 212 13
e 708 212 -1
e 466 212 8
e 164 212 15
e 124 212 -10
e 409 212 0
e 709 212 -6
e 598 212 14
e 38 212 -3
e 73 212 7
e 147 212 5
e 811 212 -6
e 689 212 -7
e 213 212 -2
e 580 212 -2
e 853 212 11
e 742 212 -3
e 321 212 -1
e 767 212 18
e 75 212 19
e 753 212 10
e 534 212 14
e 854 213 -6
e 818 213 -4
e 381 213 -2
e 128 213 -1
e 925 213 12
e 546 213 -9
e 472 213 0
e 743 213 20
e 8 213 -10
e 287 213 17
e 934 213 4
e 929 213 14
e 235 213 8
e 19 213 5
e 820 213 13
e 613 213 -10
e 171 213 8
e 415 213 9
e 292 213 4
e 477 213 17
e 571 214 14
e 631 214 2
e 140 214 -8
e 903 214 17
e 272 214 16
e 1005 214 0
e 897 214 5
e 85 214 -5
e 502 214 -1
e 166 214 17
e 491 215 18
e 294 215 9
e 224 215 3
e 194 215 -4
e 871 215 6
e 773 215 -2
e 99 215 -4
e 645 215 16
e 181 215 13
e 464 215 6
e 771 215 -7
e 340 215 17
e 183 215 -7
e 124 215 8
e 75 215 17
e 540 215 -3
e 197 215 9
e 15 215 4
e 637 215 -7
e 543 215 8
e 294 215 3
e 36 215 -1
e 780 215 -7
e 880 215 13
e 411 215 5
e 875 215 6
e 801 215 0
e 379 215 17
e 469 215 19
e 39 215 -1
e 23 215 3
e 379 215 17
e 505 215 -2
e 174 215 17
e 1023 215 14
e 770 215 18
e 803 215 -8
e 1004 215 -1
e 366 216 -2
e 668 216 6
e 150 216 10
e 240 216 15
e 953 216 2
e 491 216 5
e 101 216 -6
e 953 216 -2
e 842 216 6
e 663 216 5
e 422 216 -3
e 485 216 -8
e 768 216 -2
e 892 216 6
e 793 216 -6
e 323 216 19
e 32 216 17
e 253 216 14
e 293 216 9
e 613 216 15
e 208 216 9
e 893 216 18
e 83 216 -9
e 803 216 0
e 669 216 -5
e 485 216 7
e 976 216 13
e 278 216 11
e 246 216 -1
e 33 216 15
e 1008 216 -4
e 30 216 10
e 942 216 -1
e 419 216 -1
e 166 216 16
e 221 216 0
e 382 216 -3
e 991 216 3
e 12 216 -1
e 825 216 10
e 641 216 1
e 523 217 -10
e 413 217 18
e 814 217 13
e 166 217 20
e 729 217 14
e 513 217 -2
e 770 217 4
e 999 217 18
e 316 217 -2
e 809 217 16
e 126 217 18
e 788 217 -4
e 38 217 20
e 151 217 18
e 61 217 16
e 168 217 -10
e 765 217 15
e 483 217 10
e 912 217 -6
e 372 217 12
e 539 217 -1
e 824 217 16
e 251 217 -9
e 287 217 3
e 847 217 3
e 469 217 12
e 832 218 -2
e 945 218 9
e 644 218 16
e 524 218 -2
e 413 218 0
e 10 218 -5
e 853 218 -10
e 722 218 6
e 826 218 13
e 134 218 -4
e 915 218 6
e 467 218 18
e 921 218 13
e 455 218 3
e 484 218 -10
e 995 218 14
e 804 218 8
e 114 218 8
e 273 218 6
e 793 218 -8
e 421 218 -10
e 942 218 20
e 648 218 -2
e 333 218 7
e 204 218 18
e 937 218 18
e 218 218 11
e 673 218 -2
e 684 218 17
e 20 218 11
e 573 218 -6
e 1013 218 -8
e 62 218 -6
e 674 218 -4
e 779 218 0
e 369 218 -1
e 989 218 -2
e 396 218 -10
e 65 218 1
e 256 218 9
e 969 218 11
e 528 218 7
e 513 218 -3
e 207 218 13
e 164 218 1
e 750 218 -8
e 528 218 -2
e 466 218 10
e 1016 218 6
e 745 218 -2
e 601 218 16
e 575 218 12
e 687 218 14
e 844 218 10
e 872 218 19
e 17 218 19
e 921 218 -10
e 611 218 20
e 752 218 1
e 902 218 -1
e 490 218 10
e 509 218 1
e 581 218 -2
e 417 218 7
e 953 218 -9
e 497 218 10
e 227 218 16
e 681 218 6
e 130 218 14
e 662 218 18
e 741 218 -9
e 168 218 -5
e 932 218 1
e 841 218 19
e 911 218 1
e 493 218 3
e 740 218 16
e 234 218 -8
e 965 218 -7
e 907 218 -6
e 232 218 7
e 95 218 -8
e 145 218 -4
e 983 218 0
e 957 218 -1
e 272 218 18
e 416 218 9
e 238 218 4
e 850 218 -7
e 874 218 -6
e 966 218 13
e 813 218 16
e 1019 218 11
e 861 218 14
e 886 218 19
e 949 219 17
e 403 219 1
e 203 219 0
e 486 219 0
e 929 219 6
e 927 219 -10
e 439 219 9
e 720 219 -8
e 861 219 -1
e 762 219 8
e 446 219 16
e 305 219 17
e 540 219 -6
e 380 219 17
e 605 219 11
e 891 219 -7
e 711 219 20
e 588 219 3
e 264 219 -7
e 942 219 1
e 121 219 17
e 615 219 20
e 931 219 -7
e 996 219 8
e 771 219 9
e 288 219 -9
e 266 219 19
e 711 219 -3
e 872 219 -8
e 154 219 9
e 394 219 19
e 21 219 4
e 97 219 17
e 591 219 17
e 870 219 20
e 291 219 0
e 731 219 -5
e 909 219 -5
e 851 219 3
e 342 219 12
e 628 219 8
e 500 219 -8
e 252 219 -7
e 684 219 3
e 514 219 -3
e 1017 219 7
e 895 219 2
e 561 219 1
e 12 219 16
e 358 219 0
e 493 219 -4
e 138 219 18
e 847 219 18
e 983 219 -7
e 974 219 15
e 622 219 8
e 826 219 -2
e 831 219 0
e 411 219 12
e 296 219 3
e 114 219 8
e 609 219 14
e 322 219 13
e 791 219 14
e 335 219 18
e 855 219 4
e 678 219 -1
e 46 219 0
e 605 219 4
e 15 219 -1
e 28 219 10
e 628 219 19
e 733 219 9
e 712 219 4
e 751 219 4
e 645 219 10
e 321 219 16
e 666 219 0
e 989 219 -3
e 15 219 -2
e 947 219 16
e 1003 219 20
e 920 219 -6
e 598 219 1
e 142 219 19
e 251 219 2
e 838 219 14
e 176 219 20
e 739 219 -2
e 601 219 -4
e 257 219 -2
e 777 219 -5
e 937 220 14
e 194 220 -9
e 633 220 0
e 246 220 4
e 892 220 19
e 987 220 7
e 612 220 -1
e 701 220 20
e 1021 220 6
e 761 220 5
e 937 220 7
e 783 220 0
e 268 220 11
e 505 220 9
e 520 220 19
e 187 220 -2
e 236 220 3
e 572 220 -1
e 744 220 -5
e 340 220 17
e 709 220 -6
e 294 220 5
e 978 220 12
e 944 220 0
e 290 220 12
e 672 220 4
e 244 220 2
e 617 220 5
e 115 220 6
e 919 220 -5
e 928 220 -1
e 607 220 -4
e 396 220 9
e 123 220 -2
e 202 220 13
e 309 220 11
e 36 220 -6
e 961 220 9
e 909 220 10
e 975 220 1
e 343 220 6
e 97 220 7
e 934 220 0
e 218 220 13
e 549 220 2
e 88 220 12
e 1015 220 1
e 836 220 -10
e 497 220 -8
e 808 220 10
e 262 220 10
e 192 220 -1
e 258 220 -1
e 83 220 11
e 892 220 7
e 67 220 15
e 773 220 2
e 484 220 16
e 678 220 -8
e 138 220 -5
e 394 220 -7
e 742 220 20
e 759 220 -5
e 658 220 7
e 643 220 -7
e 490 220 -8
e 132 220 8
e 30 220 8
e 712 220 16
e 901 220 4
e 390 220 -8
e 564 220 13
e 149 220 5
e 208 220 1
e 220 220 0
e 928 220 0
e 522 220 -6
e 486 220 7
e 135 220 20
e 880 220 -7
e 938 220 12
e 106 220 19
e 44 220 2
e 886 220 14
e 732 220 7
e 511 220 4
e 917 220 17
e 713 220 8
e 109 220 11
e 717 220 -8
e 304 220 -7
e 69 220 -5
e 781 220 7
e 3 220 -9
e 142 220 -9
e 262 220 3
e 462 220 6
e 591 220 10
e 230 220 -8
e 148 221 13
e 871 221 8
e 795 221 2
e 885 221 7
e 68 221 8
e 214 221 20
e 6 221 -5
e 469 221 -6
e 682 221 0
e 427 221 5
e 722 221 -6
e 675 221 8
e 185 221 4
e 892 221 17
e 700 221 10
e 15 221 3
e 794 221 1
e 306 221 -7
e 760 221 -1
e 987 221 0
e 680 221 9
e 905 221 13
e 810 221 18
e 991 221 1
e 243 221 -2
e 402 221 11
e 1006 221 -4
e 646 221 20
e 193 221 6
e 308 221 7
e 849 221 -7
e 847 221 -3
e 648 221 -3
e 935 221 12
e 342 221 15
e 845 221 -4
e 245 221 14
e 504 221 -7
e 1008 222 19
e 282 222 9
e 824 222 0
e 909 222 10
e 646 222 20
e 429 222 9
e 568 222 14
e 241 222 7
e 656 222 18
e 961 222 -7
e 613 222 6
e 464 222 -2
e 536 222 15
e 684 222 4
e 714 222 9
e 660 222 -1
e 460 222 -5
e 393 222 19
e 87 222 11
e 318 223 15
e 932 223 7
e 610 223 4
e 79 223 5
e 761 223 -5
e 445 223 -5
e 573 223 20
e 434 223 -2
e 437 223 0
e 116 223 18
e 879 223 -4
e 301 223 20
e 395 223 6
e 401 223 9
e 761 223 -6
e 192 223 -1
e 386 223 -7
e 366 223 19
e 269 223 15
e 833 223 8
e 27 223 4
e 890 223 7
e 405 223 2
e 216 223 1
e 967 223 2
e 697 223 4
e 172 223 9
e 899 223 2
e 876 223 -1
e 578 223 6
e 803 223 -9
e 915 223 10
e 740 223 12
e 448 223 -9
e 766 223 8
e 44 223 13
e 893 223 14
e 498 223 5
e 1012 223 -5
e 969 223 13
e 122 223 -4
e 299 223 4
e 1011 223 10
e 182 223 -7
e 913 223 10
e 978 223 9
e 922 223 2
e 404 223 15
e 363 223 -1
e 226 223 12
e 701 223 6
e 472 223 4
e 551 223 -2
e 619 223 17
e 228 223 -7
e 588 223 8
e 471 223 4
e 527 223 -6
e 460 223 0
e 397 223 -6
e 257 223 -1
e 391 223 10
e 485 223 12
e 140 223 17
e 622 224 11
e 623 224 20
e 836 224 8
e 643 224 13
e 512 224 -9
e 613 224 -10
e 899 224 -2
e 33 224 6
e 344 224 18
e 446 224 11
e 746 224 14
e 23 224 -2
e 756 224 20
e 998 224 0
e 314 224 17
e 290 224 -9
e 119 224 -4
e 139 224 8
e 150 224 -2
e 899 224 3
e 292 224 -1
e 543 224 14
e 6 224 -7
e 894 224 6
e 103 224 2
e 89 224 18
e 501 224 6
e 988 224 15
e 77 224 8
e 692 224 -4
e 691 224 -5
e 106 224 -1
e 7 224 -5
e 751 224 -9
e 756 224 13
e 120 224 13
e 619 224 -5
e 907 224 -10
e 592 224 -8
e 346 224 -8
e 115 224 -9
e 593 224 -5
e 449 224 12
e 235 224 10
e 956 224 1
e 713 224 -7
e 552 224 4
e 5 224 -6
e 263 224 9
e 196 224 9
e 712 224 -9
e 266 224 -10
e 700 224 5
e 723 224 19
e 969 224 15
e 607 224 6
e 866 224 7
e 205 224 16
e 182 224 -7
e 235 224 9
e 40 224 -8
e 589 224 18
e 768 224 12
e 668 224 -10
e 864 224 15
e 305 224 13
e 121 224 7
e 226 224 6
e 766 224 -9
e 28 224 -8
e 473 224 12
e 819 224 0
e 798 224 13
e 245 224 11
e 317 224 -9
e 389 224 2
e 123 224 12
e 871 224 13
e 163 224 8
e 727 224 -2
e 760 224 -5
e 863 224 5
e 111 224 7
e 936 224 4
e 27 224 20
e 913 224 1
e 489 224 9
e 126 224 13
e 397 224 7
e 1010 224 16
e 444 224 6
e 97 224 11
e 671 225 11
e 977 225 -4
e 602 225 -4
e 463 225 -7
e 299 225 11
e 38 225 0
e 67 225 20
e 821 225 0
e 398 225 -9
e 988 225 -8
e 404 225 18
e 130 225 14
e 157 225 -9
e 861 225 -9
e 792 225 8
e 493 225 12
e 317 225 11
e 458 225 -10
e 498 225 10
e 672 225 8
e 235 225 13
e 376 225 -4
e 22 225 -9
e 313 225 -2
e 54 225 -7
e 110 225 -1
e 205 225 -4
e 73 225 -3
e 832 225 16
e 232 225 11
e 310 225 10
e 728 225 18
e 577 225 -6
e 472 225 -10
e 192 225 2
e 223 225 -10
e 516 225 6
e 864 225 2
e 433 225 9
e 972 225 3
e 103 225 14
e 857 225 2
e 418 225 9
e 770 225 4
e 223 225 14
e 462 225 12
e 513 225 10
e 86 225 -4
e 242 225 6
e 385 225 15
e 141 225 15
e 147 225 17
e 188 225 -5
e 102 225 1
e 989 225 6
e 1014 225 10
e 875 225 -1
e 36 225 -10
e 986 225 9
e 691 225 -8
e 962 225 0
e 663 225 17
e 576 225 16
e 367 225 -8
e 154 225 16
e 592 225 19
e 801 225 3
e 452 225 17
e 348 225 6
e 786 225 1
e 354 225 9
e 704 225 -8
e 648 225 4
e 599 225 2
e 828 225 11
e 358 225 17
e 561 225 4
e 969 225 19
e 701 225 12
e 299 225 0
e 127 225 9
e 476 226 -5
e 865 226 -3
e 397 226 20
e 493 227 5
e 264 227 14
e 305 227 -6
e 775 227 7
e 378 227 11
e 914 227 -2
e 290 227 20
e 628 227 13
e 494 227 -2
e 62 227 8
e 659 227 -9
e 1001 227 17
e 377 227 11
e 958 227 -4
e 190 227 1
e 371 227 15
e 894 227 6
e 407 227 16
e 82 227 6
e 560 227 1
e 278 227 15
e 162 227 20
e 1008 227 14
e 722 227 -2
e 397 227 -7
e 908 227 16
e 174 227 6
e 546 227 -2
e 740 227 -6
e 342 227 4
e 663 227 10
e 378 227 19
e 589 227 -8
e 470 227 16
e 297 227 -4
e 330 227 -2
e 178 227 2
e 565 227 1
e 983 227 19
e 405 227 11
e 815 227 2
e 367 227 -10
e 645 227 3
e 625 227 16
e 915 227 3
e 214 227 -8
e 526 227 10
e 138 227 -8
e 227 227 5
e 142 227 13
e 193 227 3
e 490 228 -8
e 81 228 -2
e 369 228 2
e 936 228 -5
e 254 228 6
e 519 228 6
e 231 228 -7
e 388 228 19
e 35 228 13
e 512 228 17
e 933 228 8
e 785 228 11
e 1000 228 6
e 576 228 16
e 204 228 14
e 373 228 -4
e 928 228 16
e 431 228 20
e 896 228 -2
e 504 228 7
e 993 228 11
e 665 228 9
e 362 228 16
e 138 228 3
e 262 228 14
e 300 228 -8
e 311 228 -8
e 570 228 3
e 429 228 5
e 509 228 16
e 279 228 17
e 960 228 13
e 313 228 17
e 132 228 14
e 318 228 7
e 1013 228 4
e 592 228 17
e 412 228 13
e 615 228 14
e 597 228 11
e 350 228 5
e 516 228 17
e 76 228 2
e 388 228 -5
e 785 228 0
e 224 228 13
e 47 228 -5
e 454 228 3
e 732 228 -9
e 568 228 7
e 853 228 3
e 901 228 13
e 108 229 14
e 618 229 16
e 975 229 1
e 549 229 -2
e 412 229 16
e 375 229 19
e 173 229 17
e 180 229 4
e 921 229 3
e 967 229 11
e 822 229 1
e 210 229 7
e 604 229 15
e 533 229 15
e 748 229 -10
e 785 229 20
e 17 229 15
e 237 229 4
e 454 229 5
e 536 229 -3
e 409 229 -2
e 304 229 -2
e 174 229 6
e 803 229 -3
e 774 229 7
e 148 229 11
e 1 229 -1
e 640 229 -7
e 34 229 -3
e 545 229 -7
e 19 229 5
e 18 229 -9
e 233 229 11
e 693 229 0
e 424 229 11
e 978 229 0
e 522 229 1
e 384 229 -5
e 636 229 10
e 585 229 1
e 362 229 -2
e 137 229 -8
e 444 229 0
e 279 229 -7
e 673 229 11
e 295 229 20
e 139 229 19
e 879 229 -8
e 891 229 19
e 137 229 -5
e 638 229 6
e 665 229 0
e 119 229 -6
e 47 229 2
e 544 229 -6
e 623 229 5
e 332 229 5
e 623 229 -9
e 367 229 10
e 480 229 -6
e 351 229 -5
e 753 229 -2
e 604 229 2
e 880 229 -10
e 79 229 12
e 818 229 12
e 847 229 17
e 438 229 9
e 617 229 3
e 773 229 17
e 929 229 20
e 988 229 14
e 308 229 15
e 269 229 14
e 32 229 15
e 547 229 0
e 998 229 1
e 837 229 15
e 911 229 19
e 605 229 -4
e 1005 229 -7
e 780 230 20
e 538 230 -2
e 236 230 -5
e 218 230 16
e 855 230 0
e 669 230 -3
e 89 230 0
e 762 230 4
e 607 230 -4
e 746 230 -3
e 588 230 7
e 893 230 13
e 968 230 -1
e 204 230 17
e 987 230 -9
e 303 230 -3
e 444 230 14
e 176 230 9
e 762 231 12
e 69 231 19
e 91 231 6
e 943 231 14
e 823 231 -1
e 917 231 11
e 673 231 20
e 566 231 3
e 621 231 8
e 686 231 -2
e 56 231 13
e 537 231 7
e 425 231 14
e 1019 231 20
e 1013 231 -7
e 480 231 15
e 399 232 3
e 567 232 14
e 272 232 -7
e 906 232 1
e 491 232 -7
e 155 232 -4
e 221 232 -2
e 48 232 16
e 1015 232 20
e 790 232 -8
e 410 232 6
e 696 232 15
e 927 232 7
e 496 232 12
e 726 232 -8
e 28 232 3
e 690 232 -4
e 629 232 4
e 322 232 11
e 924 232 10
e 867 232 17
e 374 232 10
e 309 232 1
e 314 232 18
e 715 232 20
e 456 232 0
e 295 232 9
e 61 232 2
e 869 232 19
e 708 232 -3
e 54 232 15
e 431 232 1
e 912 232 18
e 710 232 14
e 164 232 2
e 734 232 7
e 17 232 -3
e 430 232 10
e 599 232 1
e 991 232 7
e 654 232 5
e 866 232 7
e 344 232 -7
e 518 232 15
e 20 232 -3
e 586 232 -1
e 84 232 19
e 623 232 -10
e 913 232 -3
e 466 232 -10
e 798 232 -4
e 121 232 0
e 91 232 4
e 236 232 -7
e 299 232 18
e 70 232 -6
e 168 232 10
e 139 232 12
e 21 232 3
e 316 232 8
e 19 232 6
e 553 232 0
e 536 232 -6
e 135 232 2
e 542 232 7
e 578 232 -6
e 152 232 -4
e 917 232 12
